SiteID;Site Name;CC1;;CC2;;CC3;;CC4;;CC5;;CC6;;CC7;;CC8;;CB2;;CB3;;CB1;
100000327;CEMEX;197;1;211;1;23;0;188;0;188;0;10;10;8;2;8;3;21;;31;;23;21.4
100000975;TERMO CABO;155;1;158;0;141;0;70;0;70;0;86;86;;;;;178;1;170;7;88;31.7
100000976;Petrolina;1767;5;1839;2;748;0;1733;0;1733;11;81;81;25;3;25;7;777;41;778;53;106;100.4
100001278;SECOYA;428;13;454;1;247;0;411;0;411;12;17;17;42;19;42;8;235;115;273;132;43;31.6
100002129;JERVIS BAY;70;0;897;0;;0;892;0;892;0;;0;;;;;;;;;5;3.4
100002496;Garden of Eden;100;14;100;19;100;33;100;8;100;2;100;55;100;8;100;6;;;;;;;
100002498;Kingston I;691;1;731;1;589;0;690;0;690;0;5;5;52;4;52;28;565;338;558;531;41;36.1
100003494;OPG Energy Pvt Ltd;307;3;324;1;103;0;290;0;290;0;17;16;86;41;86;45;114;;163;6;34;15.4
100004895;Karaikal Chlorates;112;1;116;0;41;0;107;0;107;0;5;5;39;20;39;20;45;;44;;9;4.9
100004948;Coromandel;820;6;1002;1;864;0;937;0;937;0;42;42;466;208;466;208;690;6;780;14;65;45.8
100005051;Chemplast Sanmar Limited;285;2;293;0;58;0;276;0;276;0;9;7;51;29;51;29;61;4;68;2;17;4.2
100005291;Arkay Energy (Rameswarm) Ltd.;4999;2;5152;2;3664;0;4964;0;4964;0;35;15;502;291;502;292;3601;1603;3642;12;188;109.2
100011882;UTE Cristiano Rocha;2079;17;2246;2;1534;0;1665;1;1665;13;538;538;346;25;346;184;1491;127;1930;159;581;494.8
100011951;BEL AIR;926;5;953;0;49;0;767;0;767;0;159;158;8;1;8;1;60;;55;;186;149
100019509;Gera;1330;21;1438;0;1093;0;1301;0;1301;5;114;114;269;22;269;119;1038;295;1167;339;137;118.3
100020580;MANAUARA;2075;8;3503;3;2881;0;2924;6;2924;136;539;539;465;5;465;273;1609;95;1930;176;579;482.7
100021454;Unicem;1041;1;1061;1;558;0;1035;0;1035;0;6;6;320;70;320;106;552;18;610;79;26;22.3
100021537;D.G Khan Cement Khairpur;798;0;834;0;136;0;791;0;791;0;7;6;117;18;117;18;137;18;134;133;43;40.2
100021599;COSLPIONEER;283;0;291;0;142;0;283;0;283;0;;0;;;;;141;141;141;141;8;4
100024987;Kahone 2;518;5;532;1;107;0;337;0;337;0;181;176;4;;4;;196;2;109;5;195;152.4
100026164;NRCC;1795;4;1960;0;993;0;1789;0;1789;0;6;6;49;11;49;11;885;135;1280;116;171;163.2
100027319;COSLINNOVATOR;195;0;203;0;72;0;195;0;195;0;;0;;;;;70;70;70;70;8;5.8
100027866;QMM Ilmenite;776;2;788;1;585;0;568;0;568;0;208;207;397;135;397;123;608;5;725;1;220;146.4
100029179;GASLOG CHELSEA;22;0;517;0;;0;517;0;517;0;;0;;;;;;;;;;
100035396;Stena Crystal Sky;186;0;186;0;;0;186;0;186;0;;0;;;;;;;;;;
100035397;Stena Clear Sky;256;0;259;0;13;0;256;0;256;0;;0;;;;;13;13;13;13;3;2.4
100036498;COSLPROMOTER;158;0;158;0;;0;158;0;158;0;;0;;;;;;;;;;
100038539;Nishat Power Limited;4090;13;4393;8;2970;2;3783;0;3783;0;374;373;707;390;707;399;2831;504;3051;2451;610;565.6
100039659;DLF Utilities Ltd;318;0;335;0;106;0;315;0;315;0;4;3;75;39;75;47;105;2;101;7;20;11.1
100039910;Liberty Power Tech Limited;1366;3;1526;7;3;0;1352;1;1352;1;14;12;;;;;3;1;5;;174;133.8
100040449;UTE VIANA;1289;34;1316;2;660;0;894;1;894;1;399;399;3;;3;2;694;3;848;14;422;389.7
100040632;Qatrana Cement;420;2;449;0;135;0;387;0;387;0;33;33;23;;23;;143;1;138;69;62;51.4
100041275;Geramar;652;0;653;0;;0;651;0;651;0;2;2;;;;;;;;;2;1.4
100041513;CAMPINA GRANDE;2795;6;2818;1;51;0;2725;28;2725;28;70;70;;;;;63;;73;;93;66.5
100041531;MARACANAU;259;2;260;1;131;0;214;0;214;0;45;45;;;;;136;2;150;2;46;31.8
100043592;Kingston II;495;1;503;1;;0;496;0;496;0;1;1;;;;;;;;;7;6
100044878;EWEKORO;1332;7;1589;0;1132;0;1451;0;1451;0;80;80;362;15;362;17;896;590;937;599;138;108.3
100045913;WOODSIDE ROGERS;15;0;15;0;;0;15;0;15;0;;0;;;;;;;;;;
100045914;MARAN GAS EFESSOS;11;0;11;0;;0;11;0;11;0;;0;;;;;;;;;;
100045916;WOODSIDE GOODE;4;0;4;0;;0;4;0;4;0;;0;;;;;;;;;;
100045917;MARAN GAS DELPHI;21;0;21;0;;0;21;0;21;0;;0;;;;;;;;;;
100048546;HIPC AL HARSHIYAT POWER STATION;2429;1;2679;0;1505;0;2353;0;2353;0;76;32;108;27;108;31;1354;6;1711;79;326;295.5
100050648;Suape;1867;18;1949;6;1367;1;1489;1;1489;1;430;430;17;1;17;3;1389;14;1440;62;460;363.9
100052159;Kipevu III;2320;13;3595;13;2938;0;2727;0;2727;4;748;748;1662;94;1662;119;1729;72;2520;71;868;779
100052829;CAPARO POWER PVT LTD;1585;2;1633;0;1193;0;1555;0;1555;0;30;28;688;130;688;138;1171;3;1169;9;78;60.7
100053380;TIRENDA ENERJI;1;1;1;1;;0;;0;;0;1;1;;;;;;;;;1;0
100053435;Siddhivinayak Power Generation & Distributors Pvt Ltd;334;1;383;1;49;0;331;0;331;0;3;1;30;13;30;13;41;1;41;3;52;33.2
100057027;KIISA - ERPP 1;317;0;458;0;14;0;457;0;457;0;;0;2;1;2;1;13;12;13;13;1;0.3
100057504;NDOLA ENERGY;1158;0;1188;0;689;0;1039;0;1039;0;119;90;296;34;296;43;699;;1546;1;149;137
100058052;Tasiast Phase 1B power plant;280;18;283;2;214;0;131;0;131;0;150;140;129;28;129;50;224;9;216;61;152;91.4
100059252;MARAN GAS APOLLONIA;11;0;14;2;7;0;11;0;11;0;;0;;;;;6;6;6;6;3;0.8
100059794;STERLITE THERMAL POWER PLANT;4593;64;4923;0;1357;0;4523;0;4523;0;70;70;18;;18;1;1366;24;1354;170;400;268
100060812;PERNAMBUCO III;952;3;982;1;345;0;855;0;855;0;97;97;4;1;4;2;350;1;453;11;127;112.7
100062498;PORT WESTWARD II;100;25;100;28;100;52;100;20;100;18;100;18;100;28;100;29;;;;;1;0
